Provincia,Pct_Pared_Ladrillo,Pct_Techo_Concreto,Pct_Pisos_Solicitados
CHACHAPOYAS,27.016215443960284,16.1582970212158,91.88513465247517
BAGUA,23.734631147540984,11.20389344262295,96.55737704918033
BONGARA,21.921182266009854,9.469074986316366,97.6464148877942
CONDORCANQUI,2.99505969534788,0.57636887608069165,99.77356937011116
LUYA,3.3706984400721174,1.4658618797522929,99.60805832092184
RODRÍGUEZ DE MENDOZA,17.362982929020664,5.3908355795148255,96.95642407906558
UTCUBAMBA,15.650763169221602,8.59186173558918,96.71555805714664
HUARAZ,45.61218876318496,40.54151020115286,81.28393408117869
AIJA,0.7727975270479135,0.46367851622874806,99.79392065945389
ANTONIO RAYMONDI,2.5620707871104065,0.7659799260433175,99.57739038563128
ASUNCIÓN,9.339704604691573,3.301476976542137,97.95829713292788
BOLOGNESI,7.4215312408330885,3.828102082722206,98.4599589322382
CARHUAZ,14.711989540875184,11.86649234791971,96.80073829116358
CARLOS FERMÍN FITZCARRALD,2.0624518118735544,1.1950655358519662,99.67232074016962
CASMA,38.55504429640821,19.806331982693496,92.67907423940663
CORONGO,2.123456790123457,0.9382716049382716,99.80246913580247
HUARI,6.2182906205281645,4.013269155717445,99.06335371406271
HUARMEY,48.645720476706394,27.63813651137595,88.76489707475623
HUAYLAS,15.974596971177332,12.387465978086398,95.35208318794054
MARISCAL LUZURIAGA,0.5437553101104503,0.2548853016142736,99.94902293967715
OCROS,6.0023538642604946,1.726167124362495,99.37230286386819
PALLASCA,2.6073380171740825,0.7494145199063231,99.70335675253708
POMABAMBA,3.225806451612903,1.8001152073732718,99.66877880184332
RECUAY,8.792289535798584,6.707317073170732,98.68214004720693
SANTA,66.55446782634019,48.280617007973824,79.29717276051971
SIHUAS,3.3809461407417114,1.9525619184903684,99.33167343729524
YUNGAY,8.838772937386189,6.835691273287575,98.38913013027035
ABANCAY,38.5807953918745,30.773944481892272,88.68190452846375
ANDAHUAYLAS,22.124200822718937,17.1432819547009,95.83188779303167
ANTABAMBA,2.21606648199446,1.007302946361118,99.87408713170485
AYMARAES,9.193529617130222,5.050622599790527,98.65006400558595
COTABAMBAS,10.474812211425814,4.94107918131073,97.8567982909517
CHINCHEROS,6.932897862232778,5.641330166270784,99.13153206650831
GRAU,3.424168925667,1.8547581680696246,99.84305892424025
AREQUIPA,86.50975354556661,70.66063048410322,69.84325953858426
CAMANÁ,59.023013941137414,47.045806594379286,85.46138526222616
